run_date,file_name,n_rows,product_col,has_source_flag,na_order_id,na_order_date,na_store_id,na_product,na_quantity,na_unit_price,na_discount_pct,na_sales_channel,na_loyalty,dup_rows,dup_order_id,neg_quantity,neg_unit_price,bad_discount,orphan_store,orphan_product,flags
2026-08-04,orders_2026-07-29.csv,133,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-04,orders_2026-07-30.csv,137,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,schema_new_product_col;orphans
2026-08-04,orders_2026-07-31.csv,118,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-04,orders_2026-08-01.csv,112,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-04,orders_2026-08-02.csv,117,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-04,orders_2026-08-03.csv,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,empty;schema_new_product_col
2026-08-05,orders_2026-08-04.csv,98,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-05,orders_2026-08-05.csv,155,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-07,orders_2026-08-07.csv,125,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-08,orders_2026-08-08.csv,162,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-09,orders_2026-08-09.csv,168,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-10,orders_2026-08-10.csv,106,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-11,orders_2026-08-11.csv,161,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-12,orders_2026-08-12.csv,171,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-13,orders_2026-08-13.csv,142,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-14,orders_2026-08-14.csv,137,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-15,orders_2026-08-15.csv,98,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-16,orders_2026-08-16.csv,97,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-17,orders_2026-08-17.csv,117,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-18,orders_2026-08-18.csv,90,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-19,orders_2026-08-19.csv,162,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-20,orders_2026-08-20.csv,107,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-21,orders_2026-08-21.csv,102,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-22,orders_2026-08-22.csv,134,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-23,orders_2026-08-23.csv,158,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-24,orders_2026-08-24.csv,137,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
2026-08-25,orders_2026-08-25.csv,137,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"schema_new_product_col;stale(expected=2026-08-25,found=2026-08-24)"
