order_id,order_date,store_id,product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260725-0087,2026-07-25,S005,P1080,3,121.55,15,ship_from_store,Y
20260725-0088,2026-07-25,S005,P1034,4,168.86,0,in_store,Y
20260725-0089,2026-07-25,S002,P1037,1,77.99,15,pickup,Y
20260725-0090,2026-07-25,S007,P1020,4,169.18,20,in_store,N
20260725-0091,2026-07-25,S004,P1079,2,243.4,5,in_store,N
20260725-0092,2026-07-25,S004,P1041,3,54.6,0,in_store,Y
20260725-0093,2026-07-25,S005,P1006,1,47.52,15,pickup,N
20260725-0094,2026-07-25,S004,P1065,2,107.22,5,in_store,Y
20260725-0095,2026-07-25,S003,P1028,1,647.52,0,in_store,N
20260725-0096,2026-07-25,S005,P1050,1,71.54,5,ship_from_store,Y
20260725-0097,2026-07-25,S001,P1014,1,194.44,5,pickup,Y
20260725-0098,2026-07-25,S005,P1009,4,103.73,10,in_store,Y
20260725-0099,2026-07-25,S007,P1004,1,104.41,5,pickup,Y
20260725-0100,2026-07-25,S008,P1020,2,179.76,15,in_store,Y
20260725-0101,2026-07-25,S001,P1027,1,92.03,0,in_store,N
20260725-0102,2026-07-25,S008,P1075,1,165.22,0,in_store,N
20260725-0103,2026-07-25,S007,P1080,1,121.55,15,ship_from_store,Y
20260725-0104,2026-07-25,S001,P1063,1,79.92,0,in_store,Y
20260725-0105,2026-07-25,S006,P1024,2,81.53,10,ship_from_store,Y
20260725-0106,2026-07-25,S004,P1058,4,263.59,0,in_store,Y
20260725-0107,2026-07-25,S005,P1032,2,194.08,0,in_store,Y
20260725-0108,2026-07-25,S003,P1074,4,153.36,20,in_store,Y
20260725-0109,2026-07-25,S006,P1058,4,250.41,5,in_store,N
20260725-0110,2026-07-25,S007,P1011,2,133.07,0,in_store,N
20260725-0111,2026-07-25,S002,P1010,3,552.43,0,pickup,Y
20260725-0112,2026-07-25,S001,P1042,1,103.73,10,in_store,Y
20260725-0113,2026-07-25,S005,P1075,2,165.22,0,pickup,Y
20260725-0114,2026-07-25,S001,P1003,2,359.18,20,ship_from_store,N
20260725-0115,2026-07-25,S002,P1062,1,170.69,0,in_store,Y
20260725-0116,2026-07-25,S008,P1002,4,203.43,0,pickup,Y
20260725-0117,2026-07-25,S007,P1064,3,614.45,0,pickup,Y
20260725-0118,2026-07-25,S001,P1063,4,71.93,10,in_store,Y
20260725-0119,2026-07-25,S008,P1046,3,221.75,5,ship_from_store,Y
20260725-0120,2026-07-25,S004,P1080,3,121.55,15,ship_from_store,N
20260725-0121,2026-07-25,S006,P1015,4,191.87,0,in_store,Y
20260725-0122,2026-07-25,S003,P1018,4,145.69,5,pickup,Y
20260725-0123,2026-07-25,S002,P1054,3,67.15,5,in_store,Y
20260725-0124,2026-07-25,S005,P1032,2,174.67,10,in_store,N
20260725-0125,2026-07-25,S001,P1023,1,141.44,0,in_store,Y
20260725-0126,2026-07-25,S007,P1075,3,140.44,15,ship_from_store,Y
20260725-0127,2026-07-25,S001,P1015,2,172.68,10,in_store,Y
20260725-0128,2026-07-25,S001,P1014,2,173.97,15,in_store,N
20260725-0129,2026-07-25,S003,P1050,2,75.31,0,in_store,Y
20260725-0130,2026-07-25,S002,P1018,2,153.36,0,in_store,N
20260725-0131,2026-07-25,S001,P1021,1,66.37,10,in_store,Y
20260725-0132,2026-07-25,S004,P1043,1,241.0,0,pickup,Y
20260725-0133,2026-07-25,S001,P1025,1,124.6,0,ship_from_store,Y
20260725-0134,2026-07-25,S008,P1037,2,73.4,20,in_store,Y
20260725-0135,2026-07-25,S004,P1071,3,143.3,0,pickup,Y
20260725-0136,2026-07-25,S001,P1009,4,115.26,0,in_store,N
20260725-0137,2026-07-25,S006,P1067,2,266.98,0,in_store,Y
20260725-0138,2026-07-25,S003,P1026,2,123.88,5,in_store,N
20260725-0139,2026-07-25,S001,P1075,1,148.7,10,ship_from_store,Y
20260725-0140,2026-07-25,S007,P1044,2,189.25,0,ship_from_store,Y
20260725-0141,2026-07-25,S007,P1048,2,70.28,0,in_store,Y
20260725-0142,2026-07-25,S007,P1060,4,138.95,10,in_store,Y
