order_id,order_date,store_id,new_product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260808-0089,2026-08-08,S008,NP5012,1,114.05,5,in_store,Y
20260808-0090,2026-08-08,S002,NP5021,1,73.7,0,ship_from_store,Y
20260808-0091,2026-08-08,S004,NP5072,2,715.71,10,pickup,Y
20260808-0092,2026-08-08,S007,NP5046,3,206.02,10,in_store,Y
20260808-0093,2026-08-08,S005,NP5034,4,143.37,15,in_store,Y
20260808-0094,2026-08-08,S006,NP5002,2,185.01,10,pickup,N
20260808-0095,2026-08-08,S004,NP5032,1,200.43,0,in_store,Y
20260808-0096,2026-08-08,S002,NP5008,2,175.19,0,in_store,Y
20260808-0097,2026-08-08,S007,NP5014,1,212.08,0,in_store,N
20260808-0098,2026-08-08,S004,NP5036,1,156.45,0,in_store,Y
20260808-0099,2026-08-08,S008,NP5056,3,119.03,20,in_store,Y
20260808-0100,2026-08-08,S001,NP5018,4,142.66,5,in_store,Y
20260808-0101,2026-08-08,S002,NP5055,1,223.58,20,in_store,Y
20260808-0102,2026-08-08,S004,NP5004,2,103.51,5,in_store,Y
20260808-0103,2026-08-08,S008,NP5046,4,228.91,0,ship_from_store,Y
20260808-0104,2026-08-08,S004,NP5046,2,206.02,10,in_store,N
20260808-0105,2026-08-08,S004,NP5060,3,158.32,5,in_store,Y
20260808-0106,2026-08-08,S007,NP5023,1,115.87,20,in_store,Y
20260808-0107,2026-08-08,S005,NP5036,2,125.16,20,ship_from_store,Y
20260808-0108,2026-08-08,S004,NP5032,1,200.43,0,in_store,Y
20260808-0109,2026-08-08,S005,NP5043,2,189.93,20,in_store,N
20260808-0110,2026-08-08,S002,NP5058,1,272.76,5,in_store,Y
20260808-0111,2026-08-08,S001,NP5023,1,137.6,5,pickup,N
20260808-0112,2026-08-08,S002,NP5004,3,108.96,0,ship_from_store,Y
20260808-0113,2026-08-08,S008,NP5070,1,143.21,0,in_store,Y
20260808-0114,2026-08-08,S003,NP5027,3,88.47,5,in_store,N
20260808-0115,2026-08-08,S007,NP5007,1,109.09,0,ship_from_store,N
20260808-0116,2026-08-08,S002,NP5035,2,137.05,5,ship_from_store,Y
20260808-0117,2026-08-08,S001,NP5024,3,79.53,10,ship_from_store,Y
20260808-0118,2026-08-08,S005,NP5016,1,648.67,0,in_store,N
20260808-0119,2026-08-08,S002,NP5058,4,244.05,15,in_store,Y
20260808-0120,2026-08-08,S001,NP5024,2,88.37,0,ship_from_store,Y
20260808-0121,2026-08-08,S001,NP5035,2,144.26,0,in_store,N
20260808-0122,2026-08-08,S004,NP5016,3,583.8,10,ship_from_store,Y
20260808-0123,2026-08-08,S001,NP5040,1,107.52,0,in_store,Y
20260808-0124,2026-08-08,S006,NP5041,1,53.54,0,in_store,Y
20260808-0125,2026-08-08,S003,NP5011,2,132.66,0,in_store,Y
20260808-0126,2026-08-08,S008,NP5047,1,58.07,0,in_store,Y
20260808-0127,2026-08-08,S002,NP5032,1,200.43,0,in_store,N
20260808-0128,2026-08-08,S004,NP5057,3,319.69,20,in_store,Y
20260808-0129,2026-08-08,S008,NP5046,2,183.13,20,ship_from_store,Y
20260808-0130,2026-08-08,S004,NP5076,2,125.7,20,ship_from_store,Y
20260808-0131,2026-08-08,S006,NP5021,3,73.7,0,in_store,Y
20260808-0132,2026-08-08,S005,NP5042,1,89.89,20,in_store,Y
20260808-0133,2026-08-08,S006,NP5019,2,179.93,0,in_store,N
20260808-0134,2026-08-08,S001,NP5069,3,221.25,0,in_store,N
20260808-0135,2026-08-08,S006,NP5026,2,122.26,5,in_store,Y
20260808-0136,2026-08-08,S005,NP5012,1,120.05,0,pickup,Y
20260808-0137,2026-08-08,S001,NP5024,1,79.53,10,in_store,N
20260808-0138,2026-08-08,S003,NP5069,3,221.25,0,in_store,Y
20260808-0139,2026-08-08,S002,NP5057,3,319.69,20,pickup,Y
20260808-0140,2026-08-08,S003,NP5052,1,302.53,20,pickup,Y
20260808-0141,2026-08-08,S005,NP5005,1,106.75,5,ship_from_store,Y
20260808-0142,2026-08-08,S003,NP5041,1,53.54,0,in_store,Y
20260808-0143,2026-08-08,S005,NP5045,1,292.02,15,ship_from_store,N
20260808-0144,2026-08-08,S005,NP5001,1,116.79,10,pickup,Y
20260808-0145,2026-08-08,S003,NP5028,1,503.25,20,pickup,N
20260808-0146,2026-08-08,S006,NP5013,2,79.54,20,in_store,Y
20260808-0147,2026-08-08,S004,NP5055,4,237.56,15,in_store,Y
20260808-0148,2026-08-08,S004,NP5072,1,675.95,15,in_store,Y
20260808-0149,2026-08-08,S005,NP5018,1,127.64,15,in_store,Y
20260808-0150,2026-08-08,S001,NP5042,1,112.36,0,in_store,N
20260808-0151,2026-08-08,S005,NP5004,4,98.06,10,in_store,Y
20260808-0152,2026-08-08,S003,NP5042,1,112.36,0,in_store,Y
20260808-0153,2026-08-08,S001,NP5020,1,207.39,0,in_store,N
20260808-0154,2026-08-08,S003,NP5002,1,185.01,10,in_store,Y
20260808-0155,2026-08-08,S005,NP5034,4,134.94,20,in_store,N
20260808-0156,2026-08-08,S001,NP5056,1,126.47,15,ship_from_store,Y
20260808-0157,2026-08-08,S006,NP5057,2,399.61,0,pickup,Y
20260808-0158,2026-08-08,S002,NP5006,2,44.3,20,in_store,Y
20260808-0159,2026-08-08,S004,NP5003,2,419.55,5,pickup,Y
20260808-0160,2026-08-08,S004,NP5021,1,62.65,15,ship_from_store,N
20260808-0161,2026-08-08,S003,NP5006,1,55.38,0,in_store,Y
20260808-0162,2026-08-08,S001,NP5065,2,107.67,0,pickup,Y
